,date,columns,crs
336,2006-07-11 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
337,2006-07-12 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
338,2006-07-13 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
339,2006-07-16 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
340,2006-07-17 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
341,2006-07-18 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
342,2006-07-19 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
343,2006-07-20 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
344,2006-07-21 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
345,2006-07-22 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
346,2006-07-23 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
347,2006-07-24 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
348,2006-07-25 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
349,2006-07-26 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
350,2006-07-27 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
351,2006-07-28 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
352,2006-07-29 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
353,2006-07-30 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
354,2006-07-31 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
355,2006-08-01 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
356,2006-08-02 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
